year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2023,THA,Thailand,TH,Chiang Mai,TH50,Chai Prakan,TH5021,"14,869","14,535","29,404",770,895,839,669,433,560,700,703,"1,019","1,361","1,600","1,454","1,246",835,713,526,546,814,919,869,754,522,678,723,714,988,"1,257","1,445","1,348","1,116",891,588,445,464,"1,584","1,814","1,708","1,423",955,"1,238","1,423","1,417","2,007","2,618","3,045","2,802","2,362","1,726","1,301",971,"1,010"
2023,THA,Thailand,TH,Chiang Mai,TH50,Chiang Dao,TH5004,"40,301","40,519","80,820","2,900","3,263","2,666","1,917","1,834","1,982","2,017","2,081","2,578","3,290","3,726","3,400","2,678","2,137","1,627","1,084","1,121","3,087","3,104","2,832","2,240","2,765","2,343","2,060","2,007","2,422","3,033","3,498","3,198","2,568","1,859","1,482","1,069",952,"5,987","6,367","5,498","4,157","4,599","4,325","4,077","4,088","5,000","6,323","7,224","6,598","5,246","3,996","3,109","2,153","2,073"
2023,THA,Thailand,TH,Chiang Mai,TH50,Chom Thong,TH5002,"36,137","35,195","71,332","1,696","1,797","1,732","1,429","1,367","1,888","1,972","1,841","2,224","2,904","3,680","3,679","2,877","2,084","1,728","1,485","1,754","1,746","1,926","1,764","1,724","1,552","2,009","2,018","1,824","2,222","2,875","3,393","3,424","2,656","1,901","1,500","1,302","1,359","3,442","3,723","3,496","3,153","2,919","3,897","3,990","3,665","4,446","5,779","7,073","7,103","5,533","3,985","3,228","2,787","3,113"
2023,THA,Thailand,TH,Chiang Mai,TH50,Doi Lo,TH5024,"13,031","12,866","25,897",446,446,562,693,441,532,623,634,914,"1,191","1,451","1,586","1,239",645,596,481,551,480,499,625,724,491,664,660,669,895,"1,172","1,348","1,416","1,034",680,502,476,531,926,945,"1,187","1,417",932,"1,196","1,283","1,303","1,809","2,363","2,799","3,002","2,273","1,325","1,098",957,"1,082"
2023,THA,Thailand,TH,Chiang Mai,TH50,Doi Saket,TH5005,"24,082","22,544","46,626",803,864,981,"1,004",889,"1,185","1,246","1,253","1,580","2,215","2,802","2,713","2,018","1,236","1,152",999,"1,142",864,892,980,"1,186","1,071","1,258","1,245","1,175","1,508","2,006","2,448","2,437","1,736","1,152",944,857,785,"1,667","1,756","1,961","2,190","1,960","2,443","2,491","2,428","3,088","4,221","5,250","5,150","3,754","2,388","2,096","1,856","1,927"
2023,THA,Thailand,TH,Chiang Mai,TH50,Doi Tao,TH5017,"10,064","9,877","19,941",527,526,513,380,348,481,458,517,697,864,843,874,867,756,530,379,504,507,544,524,383,382,562,517,556,717,867,816,931,768,647,496,326,334,"1,034","1,070","1,037",763,730,"1,043",975,"1,073","1,414","1,731","1,659","1,805","1,635","1,403","1,026",705,838
2023,THA,Thailand,TH,Chiang Mai,TH50,Fang,TH5009,"62,247","62,171","124,418","3,076","3,474","3,451","3,043","2,297","2,907","3,026","3,162","4,533","5,794","6,765","5,811","4,659","3,427","2,705","1,964","2,153","3,412","3,731","3,714","3,529","2,718","3,345","3,494","3,057","4,175","5,577","6,200","5,488","4,471","3,143","2,419","1,791","1,907","6,488","7,205","7,165","6,572","5,015","6,252","6,520","6,219","8,708","11,371","12,965","11,299","9,130","6,570","5,124","3,755","4,060"
2023,THA,Thailand,TH,Chiang Mai,TH50,Galyani Vadhana,TH5025,"4,946","5,268","10,214",394,374,433,297,324,325,326,252,312,309,377,295,220,192,323,81,112,410,434,396,303,343,347,338,358,381,318,270,442,414,161,149,75,129,804,808,829,600,667,672,664,610,693,627,647,737,634,353,472,156,241
2023,THA,Thailand,TH,Chiang Mai,TH50,Hang Dong,TH5015,"48,897","45,533","94,430","1,758","1,814","1,799","2,072","2,161","2,815","2,861","2,888","3,703","4,870","5,664","4,891","3,571","2,386","1,904","1,638","2,102","1,736","1,922","1,911","2,425","2,248","2,792","2,843","2,739","3,409","4,317","4,957","4,555","3,050","2,127","1,674","1,400","1,428","3,494","3,736","3,710","4,497","4,409","5,607","5,704","5,627","7,112","9,187","10,621","9,446","6,621","4,513","3,578","3,038","3,530"
2023,THA,Thailand,TH,Chiang Mai,TH50,Hot,TH5016,"16,099","15,773","31,872","1,048","1,002",868,672,720,839,844,856,"1,121","1,327","1,476","1,359","1,048",905,730,555,729,"1,082","1,091",924,820,693,945,901,895,"1,129","1,265","1,302","1,317",996,791,640,474,508,"2,130","2,093","1,792","1,492","1,413","1,784","1,745","1,751","2,250","2,592","2,778","2,676","2,044","1,696","1,370","1,029","1,237"
